ID	ID_MAXIMO	latitude	longitude	Night_shift	Type_halte	Cleaning_time_20	Cleaning_time_code	Cleaning_time_abri
244	HLT1203	52.080466894061	4.26082125206425	0	Bushalte	20	15	20
245	HLT1204	52.0801897119236	4.25979113764391	0	Bushalte	20	15	20
246	HLT1201	52.0780749136373	4.254697608956	0	Bushalte	20	15	20
247	HLT1202	52.0781925118133	4.25525747672709	0	Bushalte	20	15	20
248	HLT1308	52.0758939817389	4.2494000148956	0	Bushalte	20	15	13
249	HLT1307	52.0765455599332	4.25140470872696	0	Bushalte	20	15	20
250	HLT1306	52.0745400668295	4.2465174891641	0	Bushalte	20	15	20
251	HLT1305	52.0742207720985	4.24535029567165	0	Bushalte	20	15	13
252	HLT1508	52.0668077938643	4.22357280945134	0	Bushalte	20	15	13
253	HLT1506	52.06862350349	4.22275324695712	0	Bushalte	20	15	13
254	HLT1502	52.066462482348	4.2180835140604	0	Bushalte	20	15	20
255	HLT1504	52.0687621457293	4.22262956598752	0	Bushalte	20	15	13
256	HLT1516	52.0655872066853	4.22413015587448	0	Bushalte	20	15	20
257	HLT1514	52.0662687756448	4.22480085871072	0	Bushalte	20	15	20
258	HLT1403	52.0681388537322	4.23218187382161	0	Bushalte	20	15	20
259	HLT1404	52.0683856675575	4.23209838799404	0	Bushalte	20	15	13
260	HLT1412	52.0670429366823	4.23561459026974	0	Bushalte	20	15	20
261	HLT1411	52.0666292135708	4.23555543563438	0	Bushalte	20	15	20
262	HLT1406	52.0698108687924	4.23667656912648	0	Bushalte	30	20	35
263	HLT1408	52.0715910519634	4.24097381784305	0	Bushalte	30	20	35
264	HLT1421	52.0657695373576	4.24065349556269	0	Bushalte	20	15	20
265	HLT1417	52.0648769363753	4.23706984122819	0	Bushalte	20	15	20
266	HLT1418	52.065053313257	4.23747181956075	0	Bushalte	20	15	13
267	HLT1425	52.0631085093536	4.22654154604364	0	Bushalte	20	15	20
268	HLT1426	52.0632317860165	4.22602396063551	0	Bushalte	20	15	20
269	HLT1873	52.0585112299475	4.22606296129191	0	Bushalte	20	15	20
