ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,n_in_run,Type_halte
HLS0316,21.0,21.0,Prinses Beatrixlaan 15,NL:Q:42067702,0,4.335131,52.079507,95,1.0,1,Bushalte
HLS0147,21.0,22.0,Prinses Beatrixlaan 31,NL:Q:42013101,0,4.337596,52.077642,96,1.0,1,Bushalte
HLS0148,21.0,1.0,Prinses Beatrixlaan 800,NL:Q:42013102,0,4.337889,52.077599,97,0.0,1,Bushalte
HLS0315,21.0,2.0,Prinses Beatrixlaan 400,NL:Q:42067701,0,4.334246,52.080542,98,0.0,1,Bushalte
HLT2649,5.0,1.0,Laan van Nieuw Oost Indië 142,NL:Q:32002649,0,4.33931637114307,52.0843828889647,99,1.0,1,Bushalte
HLT2637,21.0,7.0,Laan van Nieuw Oost Indië 44A,NL:Q:32002637,0,4.33684134900341,52.0865157166829,100,1.0,1,Bushalte
HLT3844,8.0,17.0,Neherkade 3140,NL:Q:32003844,0,4.3120325933739,52.0582038775979,101,0.0,1,Bushalte
HLT3843,15.0,1.0,Neherkade 3140,NL:Q:32003843,0,4.31227534198531,52.0580301651399,102,1.0,1,Bushalte
HLT3858,2.0,16.0,Megastores 214,NL:Q:32003858,0,4.31476386024955,52.0647737440185,103,1.0,1,Bushalte
HLT3857,2.0,17.0,Waldorptraat 274,NL:Q:32003857,0,4.31534220608393,52.0650114218305,104,1.0,1,Bushalte
HLT3860,2.0,18.0,Waldorptraat 45,NL:Q:32003860,0,4.31860823810236,52.0669240153178,105,0.0,1,Bushalte
HLT3859,2.0,19.0,Waldorptraat 162,NL:Q:32003859,0,4.31862063254475,52.0667390942887,106,1.0,1,Bushalte
HLT3847,2.0,20.0,Waldorptraat 111,NL:Q:32003847,0,4.3226077914308,52.068526848567,107,1.0,4,Bushalte
HLT2874,1.0,21.0,Kneuterdijk 24,NL:Q:32002874,0,4.30896562829692,52.0813951847169,108,1.0,1,Bushalte
HLT2873,16.0,1.0,Lange voorhout 1A,NL:Q:32002873,0,4.30955207869815,52.0813797306583,109,1.0,1,Bushalte
HLT2857,25.0,20.0,Schedeldoekshaven 60,NL:Q:32002857,0,4.3181708455341,52.0762761181492,110,1.0,1,Bushalte
HLT2858,25.0,21.0,Ammunitiehaven 191,NL:Q:32002858,0,4.320234,52.077117,111,0.0,1,Bushalte
HLT3820,11.0,2.0,de Genesteltlaan 122,NL:Q:32003820,0,4.32176434430744,52.0580731595153,112,1.0,1,Bushalte
HLT3833,11.0,4.0,Jan van Beersstraat 1-23,NL:Q:32003833,0,4.32339259232234,52.0557150313279,113,0.0,1,Bushalte
HLT3834,11.0,3.0,Jan van Beersstraat 1-23,NL:Q:32003834,0,4.32384185127498,52.0557310434146,114,1.0,1,Bushalte
HLT3819,11.0,1.0,de Genesteltlaan 122,NL:Q:32003819,0,4.32137820675742,52.0587886410883,115,1.0,1,Bushalte
HLT3807,10.0,18.0,Slachthuislaan 20,NL:Q:32003807,0,4.31843417672131,52.0611665389729,116,1.0,1,Bushalte
HLT3808,10.0,17.0,Slachthuislaan 25,NL:Q:32003808,0,4.31835416602612,52.0610015648897,117,1.0,1,Bushalte
HLT2633,21.0,17.0,Theresiastraat 34,NL:Q:32002633,0,4.33298454463528,52.0844643197803,118,1.0,1,Bushalte
HLT2634,21.0,16.0,Theresiastraat 34,NL:Q:32002634,0,4.33328306724958,52.0844686259132,119,1.0,1,Bushalte
HLT2631,21.0,18.0,Theresiastraat 2,NL:Q:32002631,0,4.33006987364627,52.0830736144388,120,1.0,1,Bushalte
HLT2632,21.0,19.0,Theresiastraat 12D,NL:Q:32002632,0,4.33092356249137,52.0834327104532,121,1.0,1,Bushalte
HLT2638,5.0,21.0,Laan van Nieuw Oost Indië 121,NL:Q:32002638,0,4.33736218862579,52.0859212517317,122,1.0,1,Bushalte
HLT2650,5.0,22.0,Laan van Nieuw Oost Indië 145,NL:Q:32002650,0,4.33930181540872,52.0842494031283,123,1.0,1,Bushalte
HLS0158,21.0,3.0,Juliana van Stoberglaan 20,NL:Q:42014102,0,4.331895,52.081878,124,1.0,1,Bushalte
HLT0447,25.0,17.0,Oostduinlaan 40,NL:Q:32000447,0,4.315542,52.091529,125,0.0,1,Bushalte
HLT0448,25.0,16.0,Oostduinlaan 40,NL:Q:32000448,0,4.315419,52.091761,126,0.0,1,Bushalte
HLT0436,25.0,18.0,Jan van Nassaustraat 62,NL:Q:32000436,0,4.317533,52.088805,127,1.0,1,Bushalte
HLT0437,25.0,3.0,Jozef Israellaan 37,NL:Q:32000437,0,4.319583,52.089741,128,0.0,1,Bushalte
HLT0427,25.0,4.0,Jozef Israelplein 36,NL:Q:32000427,0,4.3195205259337,52.0921868243557,129,0.0,1,Bushalte
HLT0426,25.0,5.0,Wassenaarseweg,NL:Q:32000426,0,4.31957823867838,52.0924967656612,130,1.0,1,Bushalte
HLT0428,25.0,6.0,Wassenaarseweg 89,NL:Q:32000428,0,4.323095,52.093601,131,0.0,1,Bushalte
HLT0429,25.0,7.0,Wassenaarseweg105,NL:Q:32000429,0,4.324033,52.094068,132,1.0,1,Bushalte
HLT0440,5.0,8.0,Hart Nibbrigkade 6774,NL:Q:32000440,0,4.330286,52.094367,133,0.0,1,Bushalte
HLT0431,5.0,9.0,van Alkemadelaan 220,NL:Q:32000431,0,4.326403,52.096265,134,1.0,1,Bushalte
HLT0416,5.0,10.0,van Alkemadelaan 131,NL:Q:32000416,0,4.32193029175675,52.1001790236594,135,1.0,1,Bushalte
HLT0404,5.0,11.0,van Alkemadelaan 289,NL:Q:32000404,0,4.31796413410107,52.1035931062374,136,1.0,1,Bushalte
HLT0406,5.0,12.0,Waalsdorperweg 189,NL:Q:32000406,0,4.317923,52.104215,137,0.0,1,Bushalte
HLT0405,5.0,16.0,Waalsdorperweg 235,NL:Q:32000405,0,4.319108,52.104729,138,1.0,1,Bushalte
HLT0408,5.0,13.0,Theo Mann Bouwmeesterlaan 1,NL:Q:32000408,0,4.323166,52.105359,139,0.0,1,Bushalte
HLT0409,5.0,14.0,Theo Mann Bouwmeesterlaan 62,NL:Q:32000409,0,4.325369,52.105388,140,1.0,1,Bushalte
HLT0407,5.0,15.0,Else Mauhslaan 2,NL:Q:32000407,0,4.323516,52.105956,141,1.0,1,Bushalte
HLT0410,5.0,17.0,Oude Waaldorperweg/van der Aastraat,NL:Q:32000410,0,4.318902,52.105159,142,0.0,1,Bushalte
HLT0402,25.0,8.0,van Hogenhoucklaan 142,NL:Q:32000402,0,4.31501964749388,52.1012343283809,143,1.0,1,Bushalte
HLT0401,25.0,9.0,van Hogenhoucklaan 134,NL:Q:32000401,0,4.31490865154569,52.1010789016025,144,1.0,1,Bushalte
HLT0403,5.0,18.0,van Alkemadelaan 674,NL:Q:32000403,0,4.31814917046317,52.1031156242217,145,1.0,1,Bushalte
HLT0413,25.0,11.0,Ruychrocklaan 92,NL:Q:32000413,0,4.315566,52.098441,146,0.0,1,Bushalte
HLT0411,25.0,13.0,Oostduinlaan 95,NL:Q:32000411,0,4.31159347098113,52.0966546050319,147,1.0,1,Bushalte
HLT0418,25.0,14.0,Oostduinlaan/Groenhovenstraat,NL:Q:32000418,0,4.31305610533233,52.0945623928717,148,1.0,1,Bushalte
HLT0417,25.0,15.0,Oostduinlaan 79,NL:Q:32000417,0,4.3128388294109,52.0952006965006,149,1.0,1,Bushalte
HLT0412,25.0,12.0,Ruychrocklaan 26,NL:Q:32000412,0,4.31308300599461,52.0973925733531,150,0.0,1,Bushalte
HLT0414,25.0,10.0,Ruychrocklaan 86,NL:Q:32000414,0,4.315853,52.098641,151,1.0,1,Bushalte
HLT0415,5.0,19.0,van Alkemadelaan 350,NL:Q:32000415,0,4.32156599743908,52.1001717034707,152,1.0,1,Bushalte
HLT0430,5.0,20.0,van Alkemadelaan 84,NL:Q:32000430,0,4.326409,52.096022,153,1.0,1,Bushalte
HLS0363,25.0,2.0,Benoordenhoutseweg,NL:Q:54000680,0,4.329667,52.09216,154,0.0,1,Bushalte
HLT0603,7.0,3.0,Dr. Alleta Jaconsweg Ver-Huëllweg,NL:Q:32000603,0,4.29987278824698,52.0973919192484,155,1.0,1,Bushalte
HLT0604,7.0,4.0,Dr. Alleta Jaconsweg Ver-Huëllweg,NL:Q:32000604,0,4.3000957481723,52.0974605468231,156,1.0,1,Bushalte
HLT0605,16.0,20.0,Bankastraat/Kerkhoflaan,NL:Q:32000605,0,4.30115079503412,52.0946637597382,157,0.0,1,Bushalte
HLT0503,16.0,21.0,Bankastraat 133,NL:Q:32000503,0,4.30207935405249,52.0939709414044,158,1.0,1,Bushalte
HLT0504,7.0,2.0,Bankastraat 100,NL:Q:32000504,0,4.30265277689089,52.0933089689487,159,1.0,1,Bushalte
HLT2401,25.0,19.0,REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),NL:Q:32002401,0,4.31645272209252,52.0848837193078,160,0.0,1,Bushalte
HLT2403,9.0,2.0,Koningskade 1,NL:Q:32002403,0,4.31683348723635,52.0848754088929,161,1.0,1,Bushalte
HLT0226,7.0,14.0,Doorniksestraat 29,NL:Q:32000226,0,4.29813714441596,52.1090120342029,162,0.0,1,Bushalte
HLT0225,7.0,15.0,Gentsestraat 179,NL:Q:32000225,0,4.29679152688367,52.1101260213315,163,1.0,1,Bushalte
HLT0310,7.0,17.0,van Alkemadelaan 1120,NL:Q:32000310,0,4.30846406104529,52.108784020229,164,1.0,1,Bushalte
HLT0309,7.0,16.0,van Alkemadelaan/Maurits de Brauwweg,NL:Q:32000309,0,4.306603,52.10937,165,1.0,1,Bushalte
HLT0224,7.0,13.0,Stevinstraat 302,NL:Q:32000224,0,4.29632906024534,52.111317114036,166,1.0,1,Bushalte
HLT0223,7.0,12.0,Stevinstraat 247,NL:Q:32000223,0,4.29589280932128,52.1112833139141,167,1.0,1,Bushalte
HLT0222,7.0,11.0,Stevinstraat 140,NL:Q:32000222,0,4.29093739612432,52.1106503366313,168,1.0,1,Bushalte
HLT0220,7.0,5.0,Badhuisweg 41,NL:Q:32000220,0,4.288068,52.109747,169,0.0,1,Bushalte
HLT0219,7.0,10.0,Badhuisweg 47,NL:Q:32000219,0,4.287317,52.109992,170,1.0,1,Bushalte
HLT0218,7.0,6.0,Harstenbroekweg 85,NL:Q:32000218,0,4.28741505902821,52.1121333071707,171,1.0,1,Bushalte
HLT0217,7.0,7.0,Harstenbroekweg 46,NL:Q:32000217,0,4.28726571567318,52.1121945199754,172,1.0,1,Bushalte
HLT0229,7.0,8.0,Kurhausweg 2,NL:Q:32000229,0,4.284011,52.112047,173,1.0,1,Bushalte
HLT0205,7.0,9.0,Kurhausweg 1,NL:Q:32000205,0,4.28368444242148,52.1120294402802,174,1.0,1,Bushalte
HLT0726,9.0,4.0,Nieuwe duinweg 21,NL:Q:32000726,0,4.28868138576308,52.1070809777064,175,1.0,1,Bushalte
HLT0727,9.0,3.0,Nieuwe duinweg 21,NL:Q:32000727,0,4.28913714381468,52.1072879836596,176,0.0,1,Bushalte
HLT0725,9.0,5.0,Duinweg 1,NL:Q:32000725,0,4.28639333811982,52.104617517952,177,1.0,1,Bushalte
HLT0734,9.0,7.0,Kanaalweg 31,NL:Q:32000734,0,4.28310135961231,52.1014730771013,178,0.0,2,Bushalte
HLT0724,9.0,6.0,Duinweg 1,NL:Q:32000724,0,4.28629427503056,52.1040868685722,179,1.0,1,Bushalte
HLT3201,23.0,26.0,Volendamlaan 1272,NL:Q:32003201,0,4.25988473489936,52.0622454150696,180,1.0,1,Bushalte
HLT3202,12.0,2.0,Volendamlaan 1158,NL:Q:32003202,0,4.26084791879404,52.0622208895183,181,1.0,1,Bushalte
HLT1924,12.0,3.0,Thorbeckelaan 103,NL:Q:32001924,0,4.25792464337325,52.063676852156,182,1.0,1,Bushalte
HLT1914,1.0,12.0,Thorbeckelaan/Appelstraat,NL:Q:32001914,0,4.25332837593685,52.0649013007184,183,0.0,1,Bushalte
HLT1911,15.0,3.0,Thorbeckelaan 433,NL:Q:32001911,0,4.25169263633927,52.0650468266869,184,1.0,1,Bushalte
HLT1907,13.0,3.0,Thorbeckelaan 701,NL:Q:32001907,0,4.24784825566121,52.0668517449488,185,1.0,1,Bushalte
HLT1908,13.0,18.0,Thorbeckelaan 350,NL:Q:32001908,0,4.24806906684069,52.0662887519574,186,1.0,1,Bushalte
