ID_MAXIMO,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,Cleaning_time_20,Cleaning_time_code,Cleaning_time_abri
HLT0410,REI-D106,25,Oude Waaldorperweg/van der Aastraat,NL:Q:32000410,0,4.318902,52.105159,142,20,20,20
HLT0402,REI-D107,1,van Hogenhoucklaan 142,NL:Q:32000402,0,4.31501964749388,52.1012343283809,143,20,15,13
HLT0401,REI-D107,2,van Hogenhoucklaan 134,NL:Q:32000401,0,4.31490865154569,52.1010789016025,144,20,15,20
HLT0403,REI-D107,3,van Alkemadelaan 674,NL:Q:32000403,0,4.31814917046317,52.1031156242217,145,20,15,20
HLT0413,REI-D107,4,Ruychrocklaan 92,NL:Q:32000413,0,4.315566,52.098441,146,20,20,20
HLT0411,REI-D107,5,Oostduinlaan 95,NL:Q:32000411,0,4.31159347098113,52.0966546050319,147,20,15,13
HLT0418,REI-D107,6,Oostduinlaan/Groenhovenstraat,NL:Q:32000418,0,4.31305610533233,52.0945623928717,148,20,15,20
HLT0417,REI-D107,7,Oostduinlaan 79,NL:Q:32000417,0,4.3128388294109,52.0952006965006,149,20,15,20
HLT0412,REI-D107,8,Ruychrocklaan 26,NL:Q:32000412,0,4.31308300599461,52.0973925733531,150,20,15,20
HLT0414,REI-D107,9,Ruychrocklaan 86,NL:Q:32000414,0,4.315853,52.098641,151,20,20,13
HLT0415,REI-D107,10,van Alkemadelaan 350,NL:Q:32000415,0,4.32156599743908,52.1001717034707,152,20,15,20
HLT0430,REI-D107,11,van Alkemadelaan 84,NL:Q:32000430,0,4.326409,52.096022,153,20,20,20
HLS0363,REI-D107,12,Benoordenhoutseweg,NL:Q:54000680,0,4.329667,52.09216,154,20,20,13
HLT0603,REI-D107,13,Dr. Alleta Jaconsweg Ver-Huëllweg,NL:Q:32000603,0,4.29987278824698,52.0973919192484,155,20,15,20
HLT0604,REI-D107,14,Dr. Alleta Jaconsweg Ver-Huëllweg,NL:Q:32000604,0,4.3000957481723,52.0974605468231,156,20,15,20
HLT0605,REI-D107,15,Bankastraat/Kerkhoflaan,NL:Q:32000605,0,4.30115079503412,52.0946637597382,157,20,15,13
HLT0503,REI-D107,16,Bankastraat 133,NL:Q:32000503,0,4.30207935405249,52.0939709414044,158,20,15,20
HLT0504,REI-D107,17,Bankastraat 100,NL:Q:32000504,0,4.30265277689089,52.0933089689487,159,20,15,13
HLT2401,REI-D107,18,REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),NL:Q:32002401,0,4.31645272209252,52.0848837193078,160,20,15,20
HLT2403,REI-D107,19,Koningskade 1,NL:Q:32002403,0,4.31683348723635,52.0848754088929,161,20,15,20
HLT0226,REI-D107,20,Doorniksestraat 29,NL:Q:32000226,0,4.29813714441596,52.1090120342029,162,20,15,20
HLT0225,REI-D107,21,Gentsestraat 179,NL:Q:32000225,0,4.29679152688367,52.1101260213315,163,20,15,20
HLT0310,REI-D107,22,van Alkemadelaan 1120,NL:Q:32000310,0,4.30846406104529,52.108784020229,164,20,15,20
HLT0309,REI-D107,23,van Alkemadelaan/Maurits de Brauwweg,NL:Q:32000309,0,4.306603,52.10937,165,20,20,20
HLT0224,REI-D107,24,Stevinstraat 302,NL:Q:32000224,0,4.29632906024534,52.111317114036,166,20,15,13
HLT0223,REI-D107,25,Stevinstraat 247,NL:Q:32000223,0,4.29589280932128,52.1112833139141,167,20,15,20
HLT0222,REI-D107,26,Stevinstraat 140,NL:Q:32000222,0,4.29093739612432,52.1106503366313,168,20,15,20
HLT0220,REI-D108,1,Badhuisweg 41,NL:Q:32000220,0,4.288068,52.109747,169,20,20,20
HLT0219,REI-D108,2,Badhuisweg 47,NL:Q:32000219,0,4.287317,52.109992,170,20,20,20
HLT0218,REI-D108,3,Harstenbroekweg 85,NL:Q:32000218,0,4.28741505902821,52.1121333071707,171,20,15,20
HLT0217,REI-D108,4,Harstenbroekweg 46,NL:Q:32000217,0,4.28726571567318,52.1121945199754,172,20,15,20
HLT0229,REI-D108,5,Kurhausweg 2,NL:Q:32000229,0,4.284011,52.112047,173,20,20,13
HLT0205,REI-D108,6,Kurhausweg 1,NL:Q:32000205,0,4.28368444242148,52.1120294402802,174,20,15,20
HLT0726,REI-D108,7,Nieuwe duinweg 21,NL:Q:32000726,0,4.28868138576308,52.1070809777064,175,20,15,13
HLT0727,REI-D108,8,Nieuwe duinweg 21,NL:Q:32000727,0,4.28913714381468,52.1072879836596,176,20,15,20
HLT0725,REI-D108,9,Duinweg 1,NL:Q:32000725,0,4.28639333811982,52.104617517952,177,20,15,20
