LambdaL,LambdaC,ratio,objective,travelTime,minShiftLength,maxShiftLength,varShiftLength,minCleaning,maxCleaning
0.0015,0.0015,1.0,337.42945827501205,34.36279160834549,6.071721822029591,7.29385943516377,586.6482998188504,4.433333333333334,5.883333333333334
0.0015,7.5E-4,0.5,337.1473377744789,34.080671107812215,5.912283582062091,7.3927214234624925,617.7054255848898,4.25,5.95
0.0015,5.0E-4,0.3333333333333333,337.43248632509153,34.365819658424925,5.781892748384061,7.66623611415089,669.8419164910614,3.8666666666666667,6.0
0.0015,3.75E-4,0.25,337.2246509873927,34.15798432072602,5.672683980882211,7.66623611415089,718.9520519140995,3.8833333333333333,6.0
0.0015,3.0000000000000003E-4,0.2,336.9773676784362,33.91070101176966,5.785248329198754,7.66623611415089,751.4894130769009,3.95,6.0
0.002,0.002,1.0,337.96313727352646,34.896470606859786,5.9369028297472,7.293821446722936,522.0431109181393,4.1,5.716666666666667
0.002,0.001,0.5,337.80935191953427,34.74268525286754,6.043262452961939,7.5792937464236445,546.0347081272354,4.133333333333334,6.016666666666667
0.002,6.666666666666666E-4,0.3333333333333333,337.7270311861725,34.66036451950584,6.0744036394772705,7.66623611415089,506.85657926440354,4.233333333333333,6.0
0.002,5.0E-4,0.25,337.8644101358972,34.797743469230525,6.074463644339276,7.41858087036969,493.72466238831686,4.133333333333334,5.866666666666666
0.002,4.0E-4,0.2,337.36361395966344,34.296947292996705,6.074463644339276,7.66623611415089,498.1777375580894,4.133333333333334,6.0
0.0025,0.0025,1.0,338.73237623986455,35.6657095731979,5.982151072954104,7.357297461446884,427.24733417707967,4.433333333333334,5.7
0.0025,0.00125,0.5,337.76946206366097,34.702795396994254,6.072270594643608,7.40598033272359,496.7186730846676,4.216666666666667,5.8
0.0025,8.333333333333333E-4,0.3333333333333333,337.8464637339439,34.7797970672773,6.144304964009761,7.66623611415089,511.8320498244884,4.1,6.0
0.0025,6.25E-4,0.25,337.7742593984431,34.70759273177656,6.136310269308896,7.304380373180319,495.3206144419573,4.1,5.766666666666667
0.0025,5.0E-4,0.2,337.82250716154607,34.755840494879415,6.159841180841184,7.66623611415089,513.4763793698069,4.2,6.0
0.003,0.003,1.0,338.664933455466,35.598266788799236,6.298979202136182,7.309686561186305,412.3932402478215,4.383333333333334,5.716666666666667
0.003,0.0015,0.5,338.27468250135115,35.208015834684424,6.2129853773344985,7.293821446722936,438.70224583561924,4.4,5.7
0.003,0.001,0.3333333333333333,338.0148427652055,34.94817609853874,6.241048909334841,7.293821446722936,469.04554143049495,4.1,5.8
0.003,7.5E-4,0.25,337.9372175815206,34.87055091485402,6.219843126785751,7.304380373180319,424.3440328091811,4.133333333333334,5.766666666666667
0.003,6.000000000000001E-4,0.2,337.6763163816399,34.60964971497322,6.182584934161155,7.304380373180319,486.8304705381018,4.166666666666667,5.766666666666667
0.0035,0.0035,1.0,339.09469892030006,36.028032253633505,6.131720964897277,7.310134677723151,434.34146930810016,4.366666666666666,5.95
0.0035,0.00175,0.5,338.70954694466343,35.64288027799669,6.21153775767382,7.293821446722936,432.559340798999,4.283333333333333,5.733333333333333
0.0035,0.0011666666666666665,0.3333333333333333,338.6316702138249,35.56500354715833,6.186980651552846,7.293821446722936,408.57232973799444,4.133333333333334,5.7
0.0035,8.75E-4,0.25,338.65235646743326,35.58568980076642,6.236204191582858,7.293821446722936,389.4147925946002,4.25,5.883333333333334
0.0035,7.000000000000001E-4,0.2,338.3410877326372,35.27442106597059,6.259506373744326,7.393291694378083,432.73878800884756,4.166666666666667,5.75
0.004,0.004,1.0,339.83913700028097,36.77247033361439,6.044034509564977,7.293821446722936,409.93124971638014,4.283333333333333,5.733333333333333
0.004,0.002,0.5,338.89596482176114,35.82929815509452,6.193847664726302,7.395927911591731,446.3877301353893,4.4,5.85
0.004,0.0013333333333333333,0.3333333333333333,338.5621872890332,35.49552062236645,6.117903570365085,7.293821446722936,387.93785378683003,4.133333333333334,5.883333333333334
0.004,0.001,0.25,338.1330557636131,35.0663890969464,6.261970367368676,7.317549465181343,415.23652112642,4.283333333333333,5.733333333333333
0.004,8.0E-4,0.2,338.7710036050758,35.704336938409114,6.291392616581327,7.293821446722936,379.3209486280394,4.133333333333334,5.716666666666667
