Route,ID_MAXIMO,Order,Name,Dova_code,Night_shift,longitude,latitude,ID
REI-D108,HLT0219,2,Badhuisweg 47,NL:Q:32000219,0,4.287317,52.109992,173
REI-D108,HLT0218,3,Harstenbroekweg 85,NL:Q:32000218,0,4.28741505902821,52.1121333071707,174
REI-D108,HLT0217,4,Harstenbroekweg 46,NL:Q:32000217,0,4.28726571567318,52.1121945199754,175
REI-D108,HLT0229,5,Kurhausweg 2,NL:Q:32000229,0,4.284011,52.112047,176
REI-D108,HLT0205,6,Kurhausweg 1,NL:Q:32000205,0,4.28368444242148,52.1120294402802,177
REI-D108,HLT0726,7,Nieuwe duinweg 21,NL:Q:32000726,0,4.28868138576308,52.1070809777064,178
REI-D108,HLT0727,8,Nieuwe duinweg 21,NL:Q:32000727,0,4.28913714381468,52.1072879836596,179
REI-D108,HLT0725,9,Duinweg 1,NL:Q:32000725,0,4.28639333811982,52.104617517952,180
REI-D108,HLT0734,10,Kanaalweg 31,NL:Q:32000734,0,4.28310135961231,52.1014730771013,181
REI-D108,HLT0734,11,Kanaalweg 5A,NL:Q:32000734,0,4.28310135961231,52.1014730771013,182
REI-D108,HLT0724,12,Duinweg 1,NL:Q:32000724,0,4.28629427503056,52.1040868685722,183
REI-D108,HLT3201,13,Volendamlaan 1272,NL:Q:32003201,0,4.25988473489936,52.0622454150696,184
REI-D108,HLT3202,14,Volendamlaan 1158,NL:Q:32003202,0,4.26084791879404,52.0622208895183,185
REI-D108,HLT1924,15,Thorbeckelaan 103,NL:Q:32001924,0,4.25792464337325,52.063676852156,186
REI-D108,HLT1914,16,Thorbeckelaan/Appelstraat,NL:Q:32001914,0,4.25332837593685,52.0649013007184,187
REI-D108,HLT1911,17,Thorbeckelaan 433,NL:Q:32001911,0,4.25169263633927,52.0650468266869,188
REI-D108,HLT1907,18,Thorbeckelaan 701,NL:Q:32001907,0,4.24784825566121,52.0668517449488,189
REI-D108,HLT1908,19,Thorbeckelaan 350,NL:Q:32001908,0,4.24806906684069,52.0662887519574,190
REI-D108,HLT1912,20,Thorbeckelaan 268,NL:Q:32001912,0,4.25421544289492,52.0641477905831,191
REI-D108,HLT1913,21,Thorbeckelaan/Appelstraat,NL:Q:32001913,0,4.25237651264599,52.0641480614418,192
REI-D108,HLT1923,22,Thorbeckelaan 134,NL:Q:32001923,0,4.25696917650807,52.0635688982326,193
REI-D108,HLT3408,26,Meppelweg 53,NL:Q:32003408,0,4.27463851350802,52.0554122317093,194
REI-D109,HLT1107,1,Stadhouderslaan 37,NL:Q:32001107,0,4.2801918694878,52.0884045222757,195
REI-D109,HLT1106,2,Cornelis de Wittlaan 41,NL:Q:32001106,0,4.27946560860845,52.0883699908259,196
REI-D109,HLT1125,3,Aert vd Goesstraat 64,NL:Q:32001125,0,4.27800489877421,52.0875793139329,197
REI-D109,HLT0930,4,Cornelis de Wittlaan 43,NL:Q:32000930,0,4.277596,52.087573,198
REI-D109,HLT0932,5,Cornelis de Wittlaan 684,NL:Q:32000932,0,4.274044,52.086047,199
REI-D109,HLT0920,6,Eisenhowerlaan 128,NL:Q:32000920,0,4.280671,52.093615,200
REI-D109,HLT0919,7,Eisenhowerlaan 73,NL:Q:32000919,0,4.280661,52.093444,201
REI-D109,HLT0944,8,Eisenhowerlaan 50,NL:Q:32000944,0,4.278274,52.090842,202
REI-D109,HLT0908,12,Statenlaan 31,NL:Q:32000908,0,4.276434,52.092659,203
REI-D109,HLT0912,13,Statenlaan 36,NL:Q:32000912,0,4.276237,52.09236,204
REI-D109,HLT0910,14,Prins Mauritsplein 24,NL:Q:32000910,0,4.2779008915119,52.0953394429413,205
REI-D109,HLT0911,15,Prins Mauritsplein 24,NL:Q:32000911,0,4.27817729560765,52.0954738560172,206
REI-D109,HLT0905,16,Frankenslag 2,NL:Q:32000905,0,4.28133152309854,52.0989761989589,207
REI-D109,HLT0904,17,Frankenslag 2,NL:Q:32000904,0,4.28151634258156,52.0991939850492,208
REI-D109,HLT0732,18,Westduinweg 138A,NL:Q:32000732,0,4.270283,52.096457,209
REI-D109,HLT0730,19,Duinstraat 40,NL:Q:32000730,0,4.26678963953563,52.0928095335104,210
REI-D109,HLT0807,20,Tesselsestraat 43,NL:Q:32000807,0,4.26229,52.090439,211
REI-D109,HLT0804,21,Pluvierstraat 275,NL:Q:32000804,0,4.257331,52.089753,212
REI-D109,HLT0803,22,Tesselseplein 68,NL:Q:32000803,0,4.258315,52.090104,213
REI-D109,HLT0808,23,Tesselsestraat 27,NL:Q:32000808,0,4.26232924694836,52.0903021773036,214
REI-D109,HLT0744,24,Kranenburgweg 136,NL:Q:32000744,0,4.263884,52.093232,215
REI-D110,HLT0731,1,Westduinweg 73H,NL:Q:32000731,0,4.26831401662161,52.0938865902528,216
REI-D110,HLT0732,2,Westduinweg 193,NL:Q:32000732,0,4.270283,52.096457,217
REI-D110,HLT0718,3,Westduinweg 1439,NL:Q:32000718,0,4.27373983210292,52.1009544842491,218
REI-D110,HLT0719,4,Westduinweg 193,NL:Q:32000719,0,4.27497905453913,52.101621233843,219
REI-D110,HLT1103,5,Aert van der Goesstraat 64,NL:Q:32001103,0,4.27804922351556,52.0872465784974,220
REI-D110,HLT0515,6,Javastraat 2C,NL:Q:32000515,0,4.301436,52.087085,221
REI-D110,HLT0510,7,Nassauplein 25,NL:Q:32000510,0,4.305635,52.090243,222
REI-D110,HLT0511,8,Nassauplein 5,NL:Q:32000511,0,4.305544,52.089765,223
REI-D110,HLT0516,9,Javastraat 2C,NL:Q:32000516,0,4.302489,52.087598,224
REI-D110,HLT1123,10,Groot Hertoginnelaan 2,NL:Q:32001123,0,4.29225717843593,52.0850455566203,225
REI-D110,HLT1118,11,Groot Hertoginnelaan 32,NL:Q:32001118,0,4.28764956198165,52.0852910315099,226
REI-D110,HLT1112,12,Groot Hertoginnelaan 121A,NL:Q:32001112,0,4.27906386319042,52.0837158898949,227
REI-D110,HLT1113,13,Valeriusstraat 1A,NL:Q:32001113,0,4.27959798558544,52.0843315815511,228
REI-D110,HLT1110,14,Groot Hertoginnelaan/Morsestraat,NL:Q:32001110,0,4.276644447142,52.0820934275228,229
REI-D110,HLT2013,15,Valkenboslaan 1A,NL:Q:32002013,0,4.27645092087172,52.0780417480059,230
REI-D110,HLT2017,16,Copernicusplein 12,NL:Q:32002017,0,4.2750865024914,52.0755849821451,231
REI-D110,HLT2021,17,Valkenboslaan 173,NL:Q:32002021,0,4.27527997395789,52.0725871733176,232
REI-D111,HLT2019,1,Mient 136,NL:Q:32002019,0,4.26939161648067,52.0706462933887,233
REI-D111,HLT1917,2,Mient 107,NL:Q:32001917,0,4.26290266589708,52.0689136755134,234
REI-D111,HLT1916,3,Mient 371,NL:Q:32001916,0,4.25895770076123,52.0675020680755,235
REI-D111,HLT1918,4,Mient 273,NL:Q:32001918,0,4.2634417566283,52.0690452467923,236
REI-D111,HLT2020,5,Mient 136,NL:Q:32002020,0,4.26965993642885,52.0706091001204,237
REI-D111,HLT2022,6,Valkenboslaan 188,NL:Q:32002022,0,4.27553122836856,52.072911299228,238
REI-D111,HLT2018,7,Valkenboslaan 76,NL:Q:32002018,0,4.27563188763052,52.0763723262955,239
REI-D111,HLT2012,8,Beeklaan 387,NL:Q:54002012,0,4.27702211647354,52.0790645740701,240
REI-D111,HLT1111,9,Groot Hertoginnelaan/Morsestraat,NL:Q:32001111,0,4.27705199663484,52.0820482331792,241
REI-D111,HLT1117,10,Groot Hertoginnelaan 34,NL:Q:32001117,0,4.28699681366676,52.0852006860692,242
REI-D111,HLT1124,11,Groot Hertoginnelaan 2,NL:Q:32001124,0,4.29223345216926,52.0848907024605,243
REI-D111,HLT1209,12,President Kennedylaan/Houtrustbrug,NL:Q:32001209,0,4.27311984709792,52.0851645503645,244
REI-D111,HLT1210,13,Sportlaan 3,NL:Q:32001210,0,4.27215595707529,52.0851388195567,245
REI-D111,HLT1207,14,Sportlaan 95,NL:Q:32001207,0,4.26528730574358,52.082334695646,246
REI-D111,HLT1208,15,Sportlaan 103,NL:Q:32001208,0,4.26438726289608,52.0820789153493,247
REI-D111,HLT1203,16,Sportlaan 726,NL:Q:32001203,0,4.26082125206425,52.080466894061,248
REI-D111,HLT1204,17,Sportlaan 149,NL:Q:32001204,0,4.25979113764391,52.0801897119236,249
REI-D111,HLT1201,18,Sportlaan 207,NL:Q:32001201,0,4.254697608956,52.0780749136373,250
REI-D111,HLT1202,19,Sportlaan 203,NL:Q:32001202,0,4.25525747672709,52.0781925118133,251
REI-D111,HLT1308,20,Sportlaan 237,NL:Q:32001308,0,4.2494000148956,52.0758939817389,252
REI-D112,HLT1307,1,Sportlaan 249,NL:Q:32001307,0,4.25140470872696,52.0765455599332,253
