ID_MAXIMO,first_order,n_visits,Route,Order,Name,Dova_code,Night_shift,longitude,latitude,ID,abri,Service_time
HLT0436,10,1,REI-D106,15,Jan van Nassaustraat 62,NL:Q:32000436,0,4.317533,52.088805,132,1,20
HLT0437,11,1,REI-D106,16,Jozef Israellaan 37,NL:Q:32000437,0,4.319583,52.089741,133,0,10
HLT0440,16,1,REI-D106,17,Hart Nibbrigkade 6774,NL:Q:32000440,0,4.330286,52.094367,134,0,10
HLT0447,8,1,REI-D106,18,Oostduinlaan 40,NL:Q:32000447,0,4.315542,52.091529,135,0,10
HLT0448,9,1,REI-D106,19,Oostduinlaan 40,NL:Q:32000448,0,4.315419,52.091761,136,0,10
HLT2631,3,1,REI-D106,20,Theresiastraat 2,NL:Q:32002631,0,4.33006987364627,52.0830736144388,137,1,20
HLT2632,4,1,REI-D106,21,Theresiastraat 12D,NL:Q:32002632,0,4.33092356249137,52.0834327104532,138,1,20
HLT2633,1,1,REI-D106,22,Theresiastraat 34,NL:Q:32002633,0,4.33298454463528,52.0844643197803,139,1,20
HLT2634,2,1,REI-D106,23,Theresiastraat 34,NL:Q:32002634,0,4.33328306724958,52.0844686259132,140,1,20
HLT2638,5,1,REI-D106,24,Laan van Nieuw Oost Indië 121,NL:Q:32002638,0,4.33736218862579,52.0859212517317,141,1,20
HLT2650,6,1,REI-D106,25,Laan van Nieuw Oost Indië 145,NL:Q:32002650,0,4.33930181540872,52.0842494031283,142,1,20
HLS0363,12,1,REI-D107,1,Benoordenhoutseweg,NL:Q:54000680,0,4.329667,52.09216,143,0,10
HLT0222,26,1,REI-D107,2,Stevinstraat 140,NL:Q:32000222,0,4.29093739612432,52.1106503366313,144,1,20
HLT0223,25,1,REI-D107,3,Stevinstraat 247,NL:Q:32000223,0,4.29589280932128,52.1112833139141,145,1,20
HLT0224,24,1,REI-D107,4,Stevinstraat 302,NL:Q:32000224,0,4.29632906024534,52.111317114036,146,1,20
HLT0225,21,1,REI-D107,5,Gentsestraat 179,NL:Q:32000225,0,4.29679152688367,52.1101260213315,147,1,20
HLT0226,20,1,REI-D107,6,Doorniksestraat 29,NL:Q:32000226,0,4.29813714441596,52.1090120342029,148,0,10
HLT0309,23,1,REI-D107,7,van Alkemadelaan/Maurits de Brauwweg,NL:Q:32000309,0,4.306603,52.10937,149,1,20
HLT0310,22,1,REI-D107,8,van Alkemadelaan 1120,NL:Q:32000310,0,4.30846406104529,52.108784020229,150,1,20
HLT0401,2,1,REI-D107,9,van Hogenhoucklaan 134,NL:Q:32000401,0,4.31490865154569,52.1010789016025,151,1,20
HLT0402,1,1,REI-D107,10,van Hogenhoucklaan 142,NL:Q:32000402,0,4.31501964749388,52.1012343283809,152,1,20
HLT0403,3,1,REI-D107,11,van Alkemadelaan 674,NL:Q:32000403,0,4.31814917046317,52.1031156242217,153,1,20
HLT0411,5,1,REI-D107,12,Oostduinlaan 95,NL:Q:32000411,0,4.31159347098113,52.0966546050319,154,1,20
HLT0412,8,1,REI-D107,13,Ruychrocklaan 26,NL:Q:32000412,0,4.31308300599461,52.0973925733531,155,0,10
HLT0413,4,1,REI-D107,14,Ruychrocklaan 92,NL:Q:32000413,0,4.315566,52.098441,156,0,10
HLT0414,9,1,REI-D107,15,Ruychrocklaan 86,NL:Q:32000414,0,4.315853,52.098641,157,1,20
HLT0415,10,1,REI-D107,16,van Alkemadelaan 350,NL:Q:32000415,0,4.32156599743908,52.1001717034707,158,1,20
HLT0417,7,1,REI-D107,17,Oostduinlaan 79,NL:Q:32000417,0,4.3128388294109,52.0952006965006,159,1,20
HLT0418,6,1,REI-D107,18,Oostduinlaan/Groenhovenstraat,NL:Q:32000418,0,4.31305610533233,52.0945623928717,160,1,20
HLT0430,11,1,REI-D107,19,van Alkemadelaan 84,NL:Q:32000430,0,4.326409,52.096022,161,1,20
HLT0503,16,1,REI-D107,20,Bankastraat 133,NL:Q:32000503,0,4.30207935405249,52.0939709414044,162,1,20
HLT0504,17,1,REI-D107,21,Bankastraat 100,NL:Q:32000504,0,4.30265277689089,52.0933089689487,163,1,20
HLT0603,13,1,REI-D107,22,Dr. Alleta Jaconsweg Ver-Huëllweg,NL:Q:32000603,0,4.29987278824698,52.0973919192484,164,1,20
HLT0604,14,1,REI-D107,23,Dr. Alleta Jaconsweg Ver-Huëllweg,NL:Q:32000604,0,4.3000957481723,52.0974605468231,165,1,20
HLT0605,15,1,REI-D107,24,Bankastraat/Kerkhoflaan,NL:Q:32000605,0,4.30115079503412,52.0946637597382,166,0,10
HLT2401,18,1,REI-D107,25,REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),NL:Q:32002401,0,4.31645272209252,52.0848837193078,167,0,10
HLT2403,19,1,REI-D107,26,Koningskade 1,NL:Q:32002403,0,4.31683348723635,52.0848754088929,168,1,20
