,PO:REI3N101,Unnamed: 1,Route: REI-N101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
140,6,,HLT1104,BEHEER,"Halte, NL:Q:32001104 Kunstmuseum/Museon",Stadhouderslaan 80,REI-0023,,,
141,7,,HLT0915,BEHEER,"Halte, NL:Q:32000915 Frederik Hendriklaan",Statenlaan 41B,REI-0023,,,
142,8,,HLT0916,BEHEER,"Halte, NL:Q:32000916 Frederik Hendriklaan",Statenlaan 50,REI-0023,,,
143,9,,HLT0943,BEHEER,"Halte, NL:Q:32000943 Statenkwartier",Statenlaan 100,REI-0023,,,
144,10,,HLT0944,BEHEER,"Halte, NL:Q:32000944 Statenkwartier",Statenlaan 100,REI-0023,,,
145,11,,HLT0934,BEHEER,"Halte, NL:Q:32000934 Doornstraat",Doornstraat 401,REI-0023,,,
146,12,,HLT0935,BEHEER,"Halte, NL:Q:32000935 Doornstraat",Doornstraat 401,REI-0023,,,
147,13,,HLT0901,BEHEER,"Halte, NL:Q:32000901 Statenlaan",Scholstraat 2,REI-0023,,,
148,14,,HLT0902,BEHEER,"Halte, NL:Q:32000902 Statenlaan",Scholstraat 2,REI-0023,,,
149,15,,HLT0913,BEHEER,"Halte, NL:Q:32000913 Willem de Zwijgerlaan (ontwerp bijlage)",van Boetzelaerlaan 132,REI-0023,,,
150,16,,HLT0914,BEHEER,"Halte, NL:Q:32000914 Willem de Zwijgerlaan",van Boetzelaerlaan 132,REI-0023,,,
151,17,,HLT0923,BEHEER,"Halte, NL:Q:32000923 Boreelstraat",van Boetzelaerlaan 30,REI-0023,,,
152,18,,HLT0924,BEHEER,"Halte, NL:Q:32000924 Boreelstraat",van Boetzelaerlaan 30,REI-0023,,,
153,19,,HLT1102,BEHEER,"Halte, NL:Q:32001102 Houtrust",Conradkade/President Kennedylaan,REI-0023,,,
154,20,,HLT1101,BEHEER,"Halte, NL:Q:32001101 Houtrust",Conradkade/President Kennedylaan,REI-0023,,,
155,,,,,,,,,,
156,,,,,,,,,,
157,PO: REI3N107,,Route: REI-N107,,,,,,,
158,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,
159,1,,HLT3839,BEHEER,"Halte, NL:Q:32003839 Leeghwaterplein",Leeghwaterplein 27,REI-0023,,,
160,2,,HLT3839,BEHEER,"Halte, NL:Q:32003839 Leeghwaterplein",Leeghwaterplein 27,REI-0023,,,
161,3,,HLT3840,BEHEER,"Halte, NL:Q:32003840 Leeghwaterplein",Leeghwaterplein 27,REI-0023,,,
