,OBJECTID,ID_MAXIMO,AREACODE,HALTENAAM,NLQNR,INSTAP_PWD_NOV_ALLE_PERRONS_19,MAX_INSTAP_PWD_DRUKSTE_UUR_19,MAX_INSTAP_PWD_24,MAAND_MAX_PWD_24,MAX_INSTAP_PWD_DRUKSTE_UUR_24,MAX_INSTAP_PER_UUR_24,UUR_MAX_24,MAAND_UUR_MAX_PWD_24,INSTAP_PWD_REF_MAAND,LIJNEN,BASIS,PLUS,TOP_,CATEGORIE,CODE_CATEGORIE,CODE_OVERSTAP,CODE_RECREATIE,CODE_WIJK,CODE_SEIZOEN,CODE_VISUALISATIE,CRITERIUM_OVERSTAP,CRITERIUM_RECREATIE,CRITERIUM_WIJK,CRITERIUM_SEIZOEN,AANTAL_INWONERS,INSTAPPERS,INST_INW,latitude,longitude
258,453,HLT1916,1915,Perenstraat,NL:Q:32001916,89.0,12.0,56,1704067200000,16,14,14,1704067200000,76.0,21,3.0,,,3.0,3,0,0,0,0,30000,,,,,5530.0,18.714286,0.0034,52.0675020680755,4.25895770076123
259,454,HLT1920,1919,Walnootstraat,NL:Q:32001920,565.0,103.0,569,1733011200000,144,8,8,1711929600000,521.0,2025-04-02 00:00:00,3.0,,,3.0,3,0,0,0,0,30000,,,,,3463.0,121.857143,0.0352,52.0605709302396,4.25530482330714
260,455,HLT1924,1923,Okkernootstraat,NL:Q:32001924,70.0,12.0,39,1711929600000,19,16,16,1711929600000,45.0,21-23,3.0,,,3.0,3,0,0,0,0,30000,,,,,5679.0,14.52381,0.0026,52.063676852156,4.25792464337325
261,456,HLT2006,2005,Fahrenheitstraat,NL:Q:32002006,1163.0,256.0,317,1730419200000,74,18,18,1733011200000,1183.0,1934-03-01 00:00:00,,2.0,,2.0,2,0,0,0,0,20000,,,,,8276.0,281.428571,0.034,52.0763904431864,4.27066108260943
262,457,HLT2011,2010,Valkenbosplein,NL:Q:32002011,1286.0,223.0,1254,1733011200000,228,8,8,1709251200000,1230.0,1934-03-01 00:00:00,,2.0,,2.0,2,0,0,0,0,20000,,,,,8552.0,305.571429,0.0357,52.078441455012,4.27653143510404
263,458,HLT2018,2017,Copernicusplein,NL:Q:32002018,170.0,23.0,105,1719792000000,34,10,10,1709251200000,122.0,21,3.0,,,3.0,3,0,0,0,0,30000,,,,,8758.0,30.095238,0.0034,52.0763723262955,4.27563188763052
264,459,HLT2022,2021,Weimarstraat,NL:Q:32002022,294.0,32.0,244,1722470400000,46,13,13,1722470400000,274.0,21,3.0,,,3.0,3,0,0,1,0,30010,,,Supermarkt + bibliotheek <200m,,9513.0,56.238095,0.0059,52.072911299228,4.27553122836856
265,460,HLT2104,2103,Weimarstraat,NL:Q:32002104,551.0,79.0,557,1727740800000,86,8,8,1725148800000,485.0,12,3.0,,,3.0,3,0,0,0,0,30000,,,,,9744.0,94.571429,0.0097,52.0754371575503,4.28003852588757
266,461,HLT2108,2107,Cartesiusstraat,NL:Q:32002108,481.0,91.0,420,1711929600000,67,8,8,1709251200000,365.0,12,3.0,,,3.0,3,0,0,0,0,30000,,,,,9148.0,125.523809,0.0137,52.0734483970242,4.28171420219583
267,462,HLT2211,2211,Zoutmanstraat,NL:Q:32002211,,,626,1704067200000,100,12,12,1704067200000,557.0,17,,,,,3,0,0,0,0,30000,,,,,,,,52.0838659045251,4.29211179134234
