,PO: REI3D101,Unnamed: 1,Route: REI-D101,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
152,15,,HLT0429,BEHEER,"Halte, NL:Q:32000429 Van Hoytemastraat",Wassenaarseweg105,REI-0023,,,,
153,16,,HLT0440,BEHEER,"Halte, NL:Q:32000440 Breitnerlaan",Hart Nibbrigkade 6774,REI-0023,,,,
154,17,,HLT0431,BEHEER,"Halte, NL:Q:32000431 Wassenaarseweg",van Alkemadelaan 220,REI-0023,,,,
155,18,,HLT0416,BEHEER,"Halte, NL:Q:32000416 Ruychrocklaan",van Alkemadelaan 131,REI-0023,,,,
156,19,,HLT0404,BEHEER,"Halte, NL:Q:32000404 HMC Bronovo",van Alkemadelaan 289,REI-0023,,,,
157,20,,HLT0406,BEHEER,"Halte, NL:Q:32000406 Waalsdorperweg",Waalsdorperweg 189,REI-0023,,,,
158,21,,HLT0405,BEHEER,"Halte, NL:Q:32000405 Waalsdorperweg",Waalsdorperweg 235,REI-0023,,,,
159,22,,HLT0408,BEHEER,"Halte, NL:Q:32000408 Stalpertstraat",Theo Mann Bouwmeesterlaan 1,REI-0023,,,,
160,23,,HLT0409,BEHEER,"Halte, NL:Q:32000409 Theo Mann Bouwmeesterlaan",Theo Mann Bouwmeesterlaan 62,REI-0023,,,,
161,24,,HLT0407,BEHEER,"Halte, NL:Q:32000407 Else Mauhslaan",Else Mauhslaan 2,REI-0023,,,,
162,25,,HLT0410,BEHEER,"Halte, NL:Q:32000410 Waalsdorperweg",Oude Waaldorperweg/van der Aastraat,REI-0023,,,,
163,,,,,,,,,,,
164,PO: REI3D107,,Route: REI-D107,,,,,,,,
165,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,,
166,1,,HLT0402,BEHEER,"Halte, NL:Q:32000402 HMC Bronovo",van Hogenhoucklaan 142,REI-0023,,,,
167,2,,HLT0401,BEHEER,"Halte, NL:Q:32000401 HMC Bronovo",van Hogenhoucklaan 134,REI-0023,,,,
168,3,,HLT0403,BEHEER,"Halte, NL:Q:32000403 HMC Bronovo",van Alkemadelaan 674,REI-0023,,,,
169,4,,HLT0413,BEHEER,"Halte, NL:Q:32000413 Van der Woertstraat",Ruychrocklaan 92,REI-0023,,,,
170,5,,HLT0411,BEHEER,"Halte, NL:Q:32000411 Oostduinlaan",Oostduinlaan 95,REI-0023,,,,
171,6,,HLT0418,BEHEER,"Halte, NL:Q:32000418 Groenhovenstraat",Oostduinlaan/Groenhovenstraat,REI-0023,,,,
172,7,,HLT0417,BEHEER,"Halte, NL:Q:32000417 Groenhovenstraat",Oostduinlaan 79,REI-0023,,,,
173,8,,HLT0412,BEHEER,"Halte, NL:Q:32000412 Oostduinlaan",Ruychrocklaan 26,REI-0023,,,,
174,9,,HLT0414,BEHEER,"Halte, NL:Q:32000414 Van der Woertstraat",Ruychrocklaan 86,REI-0023,,,,
175,10,,HLT0415,BEHEER,"Halte, NL:Q:32000415 Ruychrocklaan",van Alkemadelaan 350,REI-0023,,,,
176,11,,HLT0430,BEHEER,"Halte, NL:Q:32000430 Wassenaarseweg",van Alkemadelaan 84,REI-0023,,,,
177,12,,HLS0363,BEHEER,"Halte, NL:Q:54000680 Willem Witsenplein",Benoordenhoutseweg,REI-0023,,,,
178,13,,HLT0603,BEHEER,"Halte, NL:Q:32000603 Madurodam",Dr. Alleta Jaconsweg Ver-Huëllweg,REI-0023,,,,
179,14,,HLT0604,BEHEER,"Halte, NL:Q:32000604 Madurodam",Dr. Alleta Jaconsweg Ver-Huëllweg,REI-0023,,,,
180,15,,HLT0605,BEHEER,"Halte, NL:Q:32000605 Kerkhoflaan",Bankastraat/Kerkhoflaan,REI-0023,,,,
181,16,,HLT0503,BEHEER,"Halte, NL:Q:32000503 Bankaplein",Bankastraat 133,REI-0023,,,,
182,17,,HLT0504,BEHEER,"Halte, NL:Q:32000504 Bankaplein",Bankastraat 100,REI-0023,,,,
183,18,,HLT2401,BEHEER,"Halte, NL:Q:32002401 Malieveld",REI-POH Reinigen Abri (unit-230) en Hekwerk (unit-231),REI-0023,,,,
184,19,,HLT2403,BEHEER,"Halte, NL:Q:32002403 Malieveld",Koningskade 1,REI-0023,,,,
185,20,,HLT0226,BEHEER,"Halte, NL:Q:32000226 Doorniksestraat",Doorniksestraat 29,REI-0023,,,,
186,21,,HLT0225,BEHEER,"Halte, NL:Q:32000225 Doorniksestraat",Gentsestraat 179,REI-0023,,,,
187,22,,HLT0310,BEHEER,"Halte, NL:Q:32000310 Maurits de Brauwweg",van Alkemadelaan 1120,REI-0023,,,,
188,23,,HLT0309,BEHEER,"Halte, NL:Q:32000309 Maurits de Brauwweg",van Alkemadelaan/Maurits de Brauwweg,REI-0023,,,,
189,24,,HLT0224,BEHEER,"Halte, NL:Q:32000224 Duinkerksestraat",Stevinstraat 302,REI-0023,,,,
190,25,,HLT0223,BEHEER,"Halte, NL:Q:32000223 Duinkerksestraat",Stevinstraat 247,REI-0023,,,,
191,26,,HLT0222,BEHEER,"Halte, NL:Q:32000222 Gentsestraat",Stevinstraat 140,REI-0023,,,,
192,,,,,,,,,,,
193,PO: REI3D108,,Route: REI-D108,,,,,,,,
194,Volgorde,Locatie,Activum,Activum status,Beschrijving activum/locatie,Beschrijving,Taakplan,Inspectieformulier,Naam,,
195,1,,HLT0220,BEHEER,"Halte, NL:Q:32000220 Stevinstraat",Badhuisweg 41,REI-0023,,,,
196,2,,HLT0219,BEHEER,"Halte, NL:Q:32000219 Stevinstraat",Badhuisweg 47,REI-0023,,,,
197,3,,HLT0218,BEHEER,"Halte, NL:Q:32000218 Harstenhoekplein",Harstenbroekweg 85,REI-0023,,,,
198,4,,HLT0217,BEHEER,"Halte, NL:Q:32000217 Harstenhoekplein",Harstenbroekweg 46,REI-0023,,,,
199,5,,HLT0229,BEHEER,"Halte, NL:Q:32000229 Kurhausweg",Kurhausweg 2,REI-0023,,,,
200,6,,HLT0205,BEHEER,"Halte, NL:Q:32000205 Kurhausweg",Kurhausweg 1,REI-0023,,,,
201,7,,HLT0726,BEHEER,"Halte, NL:Q:32000726 Nieuwe Parklaan",Nieuwe duinweg 21,REI-0023,,,,
202,8,,HLT0727,BEHEER,"Halte, NL:Q:32000727 Nieuwe Parklaan",Nieuwe duinweg 21,REI-0023,,,,
203,9,,HLT0725,BEHEER,"Halte, NL:Q:32000725 Haringkade",Duinweg 1,REI-0023,,,,
